Ambiente,Participante,Tarefa,Duracao_Tarefa,Acertou_tarefa
A,usuario12,6,58802,TRUE
A,usuario12,7,49426,TRUE
A,usuario12,8,92541,FALSE
A,usuario12,9,89716,TRUE
A,usuario12,10,22201,TRUE
A,usuario12,11,51316,TRUE
A,usuario12,12,81273,TRUE
A,usuario12,13,53698,TRUE
C,usuario1,1,19637,TRUE
C,usuario1,2,18940,TRUE
C,usuario1,3,49271,TRUE
C,usuario1,4,65954,TRUE
C,usuario1,5,98855,TRUE
C,usuario1,6,49754,TRUE
C,usuario1,7,25756,TRUE
C,usuario1,8,22037,TRUE
C,usuario1,9,18151,FALSE
C,usuario1,10,56345,TRUE
C,usuario1,11,42378,TRUE
C,usuario1,12,46748,FALSE
C,usuario1,13,31978,TRUE
C,usuario2,1,132200,TRUE
C,usuario2,2,90251,TRUE
C,usuario2,3,149618,TRUE
C,usuario2,4,77384,TRUE
C,usuario2,5,196699,TRUE
C,usuario2,6,159454,TRUE
C,usuario2,7,71674,TRUE
C,usuario2,8,39250,TRUE
C,usuario2,9,57310,TRUE
C,usuario2,10,118842,TRUE
C,usuario2,11,51291,TRUE
C,usuario2,12,264267,TRUE
C,usuario2,13,54451,TRUE
C,usuario3,1,36151,TRUE
C,usuario3,2,27579,TRUE
C,usuario3,3,68400,TRUE
C,usuario3,4,109530,TRUE
C,usuario3,5,119549,TRUE
C,usuario3,6,93980,TRUE
C,usuario3,7,56726,TRUE
C,usuario3,8,62619,TRUE
C,usuario3,9,48638,FALSE
C,usuario3,10,73449,TRUE
C,usuario3,11,49158,TRUE
C,usuario3,12,45669,FALSE
C,usuario3,13,35999,TRUE
C,usuario4,1,50058,TRUE
C,usuario4,2,30554,FALSE
C,usuario4,3,81135,TRUE
C,usuario4,4,49982,TRUE
C,usuario4,5,84154,TRUE
C,usuario4,6,72851,FALSE
C,usuario4,7,31475,TRUE
C,usuario4,8,26742,TRUE
C,usuario4,9,21222,TRUE
C,usuario4,10,31497,TRUE
C,usuario4,11,64044,TRUE
C,usuario4,12,103519,FALSE
C,usuario4,13,38480,TRUE
C,usuario5,1,64713,TRUE
C,usuario5,2,36483,TRUE
C,usuario5,3,119059,TRUE
C,usuario5,4,48292,TRUE
C,usuario5,5,173875,TRUE
C,usuario5,6,100700,TRUE
C,usuario5,7,30942,TRUE
C,usuario5,8,32104,TRUE
C,usuario5,9,47547,TRUE
C,usuario5,10,70455,TRUE
C,usuario5,11,27047,TRUE
